Year,State,State_Year,Eligible_Households
2006,VIRGINIA,VIRGINIA 2006,749149
2007,VIRGINIA,VIRGINIA 2007,750906
2008,VIRGINIA,VIRGINIA 2008,750906
2009,VIRGINIA,VIRGINIA 2009,781932
2010,VIRGINIA,VIRGINIA 2010,836416
2011,VIRGINIA,VIRGINIA 2011,865843
2012,VIRGINIA,VIRGINIA 2012,865843
2013,VIRGINIA,VIRGINIA 2013,873869
2014,VIRGINIA,VIRGINIA 2014,894226
2015,VIRGINIA,VIRGINIA 2015,921760
2016,VIRGINIA,VIRGINIA 2016,929976
2017,VIRGINIA,VIRGINIA 2017,922930
2018,VIRGINIA,VIRGINIA 2018,909320
2019,VIRGINIA,VIRGINIA 2019,878301
2006,WASHINGTON,WASHINGTON 2006,676950
2007,WASHINGTON,WASHINGTON 2007,667243
2008,WASHINGTON,WASHINGTON 2008,667243
2009,WASHINGTON,WASHINGTON 2009,655866
2010,WASHINGTON,WASHINGTON 2010,716861
2011,WASHINGTON,WASHINGTON 2011,769625
2012,WASHINGTON,WASHINGTON 2012,769625
2013,WASHINGTON,WASHINGTON 2013,774679
2014,WASHINGTON,WASHINGTON 2014,768883
2015,WASHINGTON,WASHINGTON 2015,770534
2016,WASHINGTON,WASHINGTON 2016,769809
2017,WASHINGTON,WASHINGTON 2017,763153
2018,WASHINGTON,WASHINGTON 2018,753012
2019,WASHINGTON,WASHINGTON 2019,722328
2006,WEST VIRGINIA,WEST VIRGINIA 2006,218394
2007,WEST VIRGINIA,WEST VIRGINIA 2007,223402
2008,WEST VIRGINIA,WEST VIRGINIA 2008,223402
2009,WEST VIRGINIA,WEST VIRGINIA 2009,232289
2010,WEST VIRGINIA,WEST VIRGINIA 2010,226818
2011,WEST VIRGINIA,WEST VIRGINIA 2011,232736
2012,WEST VIRGINIA,WEST VIRGINIA 2012,232736
2013,WEST VIRGINIA,WEST VIRGINIA 2013,230662
2014,WEST VIRGINIA,WEST VIRGINIA 2014,232779
2015,WEST VIRGINIA,WEST VIRGINIA 2015,239673
2016,WEST VIRGINIA,WEST VIRGINIA 2016,242360
2017,WEST VIRGINIA,WEST VIRGINIA 2017,246316
2018,WEST VIRGINIA,WEST VIRGINIA 2018,243375
2019,WEST VIRGINIA,WEST VIRGINIA 2019,237729
2006,WISCONSIN,WISCONSIN 2006,634390
2007,WISCONSIN,WISCONSIN 2007,634579
2008,WISCONSIN,WISCONSIN 2008,634579
2009,WISCONSIN,WISCONSIN 2009,624908
2010,WISCONSIN,WISCONSIN 2010,672950
2011,WISCONSIN,WISCONSIN 2011,715648
2012,WISCONSIN,WISCONSIN 2012,715648
2013,WISCONSIN,WISCONSIN 2013,697396
2014,WISCONSIN,WISCONSIN 2014,693500
2015,WISCONSIN,WISCONSIN 2015,687112
2016,WISCONSIN,WISCONSIN 2016,689222
2017,WISCONSIN,WISCONSIN 2017,691229
2018,WISCONSIN,WISCONSIN 2018,681311
2019,WISCONSIN,WISCONSIN 2019,660108
2006,WYOMING,WYOMING 2006,46412
2007,WYOMING,WYOMING 2007,47408
2008,WYOMING,WYOMING 2008,47408
2009,WYOMING,WYOMING 2009,53504
2010,WYOMING,WYOMING 2010,57254
2011,WYOMING,WYOMING 2011,61996
2012,WYOMING,WYOMING 2012,61996
2013,WYOMING,WYOMING 2013,60509
2014,WYOMING,WYOMING 2014,56641
2015,WYOMING,WYOMING 2015,60252
2016,WYOMING,WYOMING 2016,57626
2017,WYOMING,WYOMING 2017,61148
2018,WYOMING,WYOMING 2018,61529
2019,WYOMING,WYOMING 2019,60502
