Fiscal Year,Grantee,State,Total Program Funding,Income Eligible Fed,Income Eligible State,CLRCB,CLRCV,DFRCB,DFRCV,ESRCB,ESRCV,HLRCB,HLRCV,KSRCB,KSRCV,NGRCB,NGRCV,PARCB,PARCV,PQRCB,PQRCV,TERCB,TERCV
2014,Pennsylvania,PA,222733949,1556952,1050059,0,0,91046,2560.5,184914,7217.8,19958,653.5,2030,61.4,267748,2999.2,113034,3275.4,19958,653.5,970346,13655.7
2014,Rhode Island,RI,26017823,141674,141674,0,0,15810,437.3,10476,527.1,1135,48.3,48,1.5,20287,298.6,16993,487.1,1135,48.3,65952,1322.3
2014,South Carolina,SC,42732312,559079,489131,0,0,239,6.5,104803,3824.3,4817,174.2,224,6.7,32652,403.6,5280,187.5,4817,174.2,376892,4436.7
2014,South Dakota,SD,18336580,88818,83649,0,0,492,13.2,16471,505.3,4439,107,3,0.1,14797,131.8,4934,120.3,4439,107,73281,764.8
2014,Tennessee,TN,58189689,756938,674263,0,0,223,6.2,145141,4392,7217,224.2,221,7.3,80605,794.1,7661,237.7,7217,224.2,562116,5465.6
2014,Texas,TX,128931355,2625100,1783245,0,0,8,0.2,480750,16715.8,18546,606.7,9,0.2,242475,2617.2,18563,607.2,18546,606.7,1709452,20006.8
2014,Utah,UT,25908966,220033,176471,0,0,117,2.9,30585,954.2,1746,50.7,1,0,65270,592.1,1864,53.6,1746,50.7,159065,1608.2
2014,Vermont,VT,19812148,71289,71289,0,0,10185,279.1,7238,370.7,6378,214.3,449,14.2,3891,56.2,17012,507.7,6378,214.3,44370,992.4
2014,Virginia,VA,89568392,894226,447469,0,0,14042,381.4,158466,5155.3,11732,404.3,697,20.7,97426,1120.3,26471,806.3,11732,404.3,643199,7170
2014,Washington,WA,57206105,768883,393593,0,0,3767,107.8,119703,3040.6,6736,200.6,36,1.2,82249,834,10540,309.6,6736,200.6,481639,4322.7
2014,West Virginia,WV,31592973,232779,180145,0,0,1376,37.6,40912,1119.7,2739,97.4,202,6,30859,288.5,4317,141.1,2739,97.4,178596,1646.9
2014,Wisconsin,WI,103490300,693500,693227,0,0,5334,144.4,74811,2996.2,27212,667.8,92,3,155974,1582.3,32638,815.2,27212,667.8,451636,5484.3
2014,Wyoming,WY,10220613,56641,56631,0,0,121,2.9,9391,288.9,3067,87.2,0,0,13803,123.9,3188,90.2,3067,87.2,48016,511.9
2015,Alabama,AL,47507041,598659,528181,0,0,120,1.9,108872,3731.8,5395,127.1,17,0.3,33653,462.8,5533,129.2,5395,127.1,349230,4330.8
2015,Alaska,AK,10933236,63236,49494,0,0,7770,146.6,6975,405.3,355,10.1,38,0.6,18593,179.1,8163,157.4,355,10.1,53136,769.6
2015,Arizona,AZ,21174330,664660,664660,0,0,6,0.1,113167,4023.3,3508,94.5,0,0,36047,588.2,3514,94.6,3508,94.5,385470,4724.6
2015,Arkansas,AR,28470299,336564,327829,0,0,49,0.8,62349,1794.3,4198,93.7,9,0.1,33463,382.7,4256,94.7,4198,93.7,228572,2292.6
2015,California,CA,174389188,3882439,3879141,0,0,443,9,304986,15187.8,21125,563.2,248,4.3,415935,4569.4,21816,576.4,21125,563.2,1347770,20438
2015,Colorado,CO,52234510,592337,369804,0,0,278,4,62729,2228,10751,222.3,5,0.1,129193,1012,11033,226.4,10751,222.3,347376,3521.8
2015,Connecticut,CT,87832233,436824,436824,0,0,60485,1141.1,43990,2699.3,7458,228.4,58,1,52337,637.2,68001,1370.5,7458,228.4,251761,4737.7
2015,Delaware,DE,13561509,98932,89850,0,0,2812,52.1,16545,650.8,3228,89.7,76,1.2,11854,142.1,6116,143.1,3228,89.7,65664,938.9
2015,District of Columbia,DC,11429251,80213,80213,0,0,1074,21.1,8522,324.3,6,0.2,0,0,14088,161.7,1080,21.2,6,0.2,42435,507.2
2015,Florida,FL,76249336,2086727,1793553,0,0,81,1.4,418855,14216.6,5193,190.3,19,0.3,15791,298,5293,192.1,5193,190.3,1207493,14707.5
2015,Georgia,GA,56607855,1097605,1096190,0,0,68,1.2,192511,6511.2,8550,236.4,34,0.6,120795,1725.6,8652,238.2,8550,236.4,697029,8486.3
2015,Hawaii,HI,5842511,117901,87557,0,0,2,0,9012,781.9,505,22.1,0,0,562,22.9,507,22.2,505,22.1,31571,827.1
2015,Idaho,ID,20811271,154542,142986,0,0,713,10.5,27483,799.7,3063,69.1,1,0,24329,201.7,3776,79.6,3063,69.1,122911,1138
2015,Illinois,IL,182462554,1491484,1005477,0,0,411,7.4,152331,5581.1,19242,314,63,1.1,412894,3195,19716,322.5,19242,314,924263,9114.3
2015,Indiana,IN,80709347,741875,573993,0,0,1235,22.3,110691,3753.1,11647,218.9,162,2.8,136142,1186.8,13044,244,11647,218.9,535027,5217.2
2015,Iowa,IA,55955679,359096,242696,0,0,780,14,47039,1604,15032,198.2,15,0.2,66042,533.9,15827,212.4,15032,198.2,226772,2364
2015,Kansas,KS,32180609,321227,189203,0,0,21,0.4,45181,1634.6,8170,128.8,2,0,60399,593.8,8193,129.2,8170,128.8,221062,2367.7
2015,Kentucky,KY,48551322,560390,413602,0,0,639,11.4,89286,2680.3,7984,160.9,150,2.5,50480,537.3,8773,174.9,7984,160.9,360090,3420.7
2015,Louisiana,LA,38427526,598119,597690,0,0,37,0.6,107633,2943.6,1785,46.4,2,0,37738,397,1824,47,1785,46.4,333488,3390
2015,Maine,ME,40722373,172745,147610,0,0,32314,604.7,15908,727.9,6454,167,1331,22.5,2782,45.3,40099,794.2,6454,167,107360,1667.1
2015,Maryland,MD,71168152,664597,387329,0,0,19389,381,93500,3786.9,7606,224.6,253,4.3,87475,996.8,27248,609.9,7606,224.6,424674,5412.5
2015,Massachusetts,MA,147437010,860902,860902,0,0,83347,1570.9,68838,4000,7602,265.4,251,4.3,130373,1649.1,91200,1840.6,7602,265.4,435995,7532.5
2015,Michigan,MI,177720659,1200571,617346,0,0,2947,52.8,113817,4810.8,32965,666.5,162,2.8,322444,2749.6,36074,722.1,32965,666.5,741963,8382.9
2015,Minnesota,MN,124784052,615404,484192,0,0,4435,80,74088,2630.7,20422,335,48,0.8,122089,1033.6,24905,415.9,20422,335,379916,4127.2
2015,Mississippi,MS,26972969,370953,364648,0,0,1,0,63330,2092.2,5447,137,11,0.2,23846,225.5,5459,137.2,5447,137,196603,2459.5
2015,Missouri,MO,77625627,721486,499382,0,0,155,2.7,115707,3800,14312,234.3,34,0.6,96343,1107.8,14502,237.6,14312,234.3,497757,5193.7
2015,Montana,MT,20708951,123536,123536,0,0,404,5.6,16464,525,6997,132.9,0,0,19534,155.3,7402,138.5,6997,132.9,89193,870.2
2015,Nebraska,NE,32293762,206556,101361,0,0,83,1.5,32524,1010.5,6256,81.1,3,0,36635,307.1,6341,82.6,6256,81.1,148592,1406.7
2015,Nevada,NV,10574254,279630,220266,0,0,188,3.8,42099,1574.1,1985,53.3,1,0,38501,437.7,2175,57.1,1985,53.3,151763,2077.9
2015,New Hampshire,NH,26641698,149967,115101,0,0,21046,373.3,15446,837.5,11511,327,371,5.9,8077,126.9,32928,706.3,11511,327,101092,1727.3
2015,New Jersey,NJ,127819043,1056363,762041,0,0,28328,561.8,99433,4607.3,4341,148.4,56,1,248407,1972.7,32724,711.2,4341,148.4,581660,7304.2
2015,New Mexico,NM,17675780,223211,221698,0,0,9,0.1,22662,828.2,4365,102.2,0,0,34402,285.9,4375,102.4,4365,102.2,117554,1258.2
2015,New York,NY,381780485,2366440,2366440,0,0,121811,2348.2,174055,9456.2,22466,618.5,2597,43.2,466993,5064.3,146874,3010,22466,618.5,1136627,17680.7
2015,North Carolina,NC,85045831,1154478,811986,0,0,9052,160.1,197560,6531.8,17309,468.6,850,14.3,66792,746.5,27211,643,17309,468.6,689950,7954.6
2015,North Dakota,ND,21335551,83100,83100,0,0,742,13.2,16591,467.9,5464,73.3,4,0.1,11467,86,6210,86.5,5464,73.3,69941,641.8
2015,Ohio,OH,158269869,1439003,1293255,0,0,8181,146.1,175694,6590.6,16563,390.9,334,5.7,305352,2713.3,25078,542.6,16563,390.9,894252,9904.1
2015,Oklahoma,OK,32971770,416828,245548,0,0,6,0.1,77165,2293.6,6949,117.9,3,0,62142,608.2,6958,118.1,6949,117.9,293942,3032.9
2015,Oregon,OR,38865148,442307,441565,0,0,1692,31.9,62334,1948.3,1929,47.4,125,2,39040,463,3745,81.3,1929,47.4,231716,2590.4
2015,Pennsylvania,PA,222604785,1580756,1046795,0,0,86789,1705.3,185676,7423.1,18230,509.5,1350,22.9,247059,2601.8,106369,2237.7,18230,509.5,947986,12404.8
2015,Rhode Island,RI,28054294,138059,138059,0,0,17271,327.8,10698,604.8,1061,38.1,29,0.5,20606,285.4,18361,366.4,1061,38.1,68000,1264
2015,South Carolina,SC,39353561,536658,485651,0,0,512,9.2,102562,3778.5,3972,124.3,162,2.7,29277,358.6,4646,136.3,3972,124.3,364063,4279.3
