State,Year,State_Year,Total_HDD,Total_CDD
ALABAMA,1998,ALABAMA 1998,822,2176
ALABAMA,1999,ALABAMA 1999,1035,1987
ALABAMA,2000,ALABAMA 2000,1384,2206
ALABAMA,2001,ALABAMA 2001,955,1842
ALABAMA,2002,ALABAMA 2002,1157,2218
ALABAMA,2003,ALABAMA 2003,1070,1903
ALABAMA,2004,ALABAMA 2004,924,2082
ALABAMA,2005,ALABAMA 2005,1143,2093.0
ALABAMA,2006,ALABAMA 2006,1046,2233.0
ALABAMA,2007,ALABAMA 2007,876,2290.0
ALABAMA,2008,ALABAMA 2008,1097,1957.0
ALABAMA,2009,ALABAMA 2009,1124,1922.0
ALABAMA,2010,ALABAMA 2010,1191,2346.0
ALABAMA,2011,ALABAMA 2011,995,2150.0
ALABAMA,2012,ALABAMA 2012,999,2086.0
ALABAMA,2013,ALABAMA 2013,1070,1903.0
ALABAMA,2014,ALABAMA 2014,1065,1980.0
ALABAMA,2015,ALABAMA 2015,615,2173.0
ALABAMA,2016,ALABAMA 2016,735,2500.0
ALABAMA,2017,ALABAMA 2017,991,2134.0
ALABAMA,2018,ALABAMA 2018,1005,2304.0
ALABAMA,2019,ALABAMA 2019,917,2413.0
ALABAMA,2020,ALABAMA 2020,893,2096.0
ALABAMA	      68,1997,ALABAMA	      68 1997,1319,
ALASKA,1998,ALASKA 1998,4862,11
ALASKA,1999,ALASKA 1999,5049,19
ALASKA,2000,ALASKA 2000,4566,4
ALASKA,2001,ALASKA 2001,5141,6
ALASKA,2002,ALASKA 2002,4080,12
ALASKA,2003,ALASKA 2003,4671,22
ALASKA,2004,ALASKA 2004,4372,47
ALASKA,2005,ALASKA 2005,4585,14.0
ALASKA,2006,ALASKA 2006,4959,2.0
ALASKA,2007,ALASKA 2007,4450,13.0
ALASKA,2008,ALASKA 2008,5299,6.0
ALASKA,2009,ALASKA 2009,4699,17.0
ALASKA,2010,ALASKA 2010,4851,11.0
ALASKA,2011,ALASKA 2011,4868,7.0
ALASKA,2012,ALASKA 2012,5229,5.0
ALASKA,2013,ALASKA 2013,4442,54.0
ALASKA,2014,ALASKA 2014,4187,8.0
ALASKA,2015,ALASKA 2015,4475,33.0
ALASKA,2016,ALASKA 2016,4498,23.0
ALASKA,2017,ALASKA 2017,4314,20.0
ALASKA,2018,ALASKA 2018,3921,20.0
ALASKA,2019,ALASKA 2019,3810,92.0
ALASKA,2020,ALASKA 2020,4457,5.0
ALASKA	     1583,1997,ALASKA	     1583 1997,4622,
ARIZONA,1998,ARIZONA 1998,819,2496
ARIZONA,1999,ARIZONA 1999,679,2642
ARIZONA,2000,ARIZONA 2000,919,3039
ARIZONA,2001,ARIZONA 2001,728,3231
ARIZONA,2002,ARIZONA 2002,728,3103
ARIZONA,2003,ARIZONA 2003,722,3230
ARIZONA,2004,ARIZONA 2004,809,3041
ARIZONA,2005,ARIZONA 2005,653,3073.0
ARIZONA,2006,ARIZONA 2006,765,3108.0
ARIZONA,2007,ARIZONA 2007,719,3079.0
ARIZONA,2008,ARIZONA 2008,711,2769.0
ARIZONA,2009,ARIZONA 2009,813,2924.0
ARIZONA,2010,ARIZONA 2010,736,2729.0
ARIZONA,2011,ARIZONA 2011,883,2871.0
ARIZONA,2012,ARIZONA 2012,653,2991.0
ARIZONA,2013,ARIZONA 2013,740,2908.0
ARIZONA,2014,ARIZONA 2014,659,2817.0
ARIZONA,2015,ARIZONA 2015,907,2811.0
ARIZONA,2016,ARIZONA 2016,607,2954.0
ARIZONA,2017,ARIZONA 2017,445,2985.0
ARIZONA,2018,ARIZONA 2018,787,2821.0
ARIZONA,2019,ARIZONA 2019,723,2797.0
ARIZONA,2020,ARIZONA 2020,770,3096.0
ARIZONA	      54,1997,ARIZONA	      54 1997,861,
ARKANSAS,1998,ARKANSAS 1998,1094,2367
ARKANSAS,1999,ARKANSAS 1999,1064,1877
ARKANSAS,2000,ARKANSAS 2000,1709,2041
ARKANSAS,2001,ARKANSAS 2001,1171,1916
ARKANSAS,2002,ARKANSAS 2002,1411,1941
ARKANSAS,2003,ARKANSAS 2003,1185,1794
ARKANSAS,2004,ARKANSAS 2004,1169,1661
ARKANSAS,2005,ARKANSAS 2005,1315,2055.0
ARKANSAS,2006,ARKANSAS 2006,1272,2045.0
ARKANSAS,2007,ARKANSAS 2007,1208,2056.0
ARKANSAS,2008,ARKANSAS 2008,1455,1706.0
ARKANSAS,2009,ARKANSAS 2009,1453,1595.0
ARKANSAS,2010,ARKANSAS 2010,1345,2247.0
ARKANSAS,2011,ARKANSAS 2011,1263,2190.0
ARKANSAS,2012,ARKANSAS 2012,1275,2235.0
ARKANSAS,2013,ARKANSAS 2013,1484,1835.0
ARKANSAS,2014,ARKANSAS 2014,1409,1659.0
ARKANSAS,2015,ARKANSAS 2015,956,1935.0
ARKANSAS,2016,ARKANSAS 2016,1065,2165.0
ARKANSAS,2017,ARKANSAS 2017,1235,1813.0
ARKANSAS,2018,ARKANSAS 2018,1418,2106.0
ARKANSAS,2019,ARKANSAS 2019,1344,2038.0
ARKANSAS,2020,ARKANSAS 2020,1285,1709.0
ARKANSAS	      7,1997,ARKANSAS	      7 1997,1467,
CALIFORNIA,1997,CALIFORNIA 1997,82,911
CALIFORNIA,1998,CALIFORNIA 1998,1075,754
CALIFORNIA,1999,CALIFORNIA 1999,773,678
CALIFORNIA,2000,CALIFORNIA 2000,992,855
CALIFORNIA,2001,CALIFORNIA 2001,828,921
CALIFORNIA,2002,CALIFORNIA 2002,852,833
CALIFORNIA,2003,CALIFORNIA 2003,834,1028
CALIFORNIA,2004,CALIFORNIA 2004,951,1024
CALIFORNIA,2005,CALIFORNIA 2005,746,901.0
CALIFORNIA,2006,CALIFORNIA 2006,823,1065.0
CALIFORNIA,2007,CALIFORNIA 2007,915,923.0
CALIFORNIA,2008,CALIFORNIA 2008,769,1134.0
CALIFORNIA,2009,CALIFORNIA 2009,923,1052.0
CALIFORNIA,2010,CALIFORNIA 2010,909,796.0
CALIFORNIA,2011,CALIFORNIA 2011,929,847.0
