State,Year,State_Year,Total_HDD,Total_CDD
DISTRICT OF COLUMBIA,2013,DISTRCT COLUMBIA 2013,1414,1710.0
DISTRICT OF COLUMBIA,2014,DISTRCT COLUMBIA 2014,1263,1698.0
DISTRICT OF COLUMBIA,2015,DISTRCT COLUMBIA 2015,971,1991.0
DISTRICT OF COLUMBIA,2016,DISTRCT COLUMBIA 2016,1196,1982.0
DISTRICT OF COLUMBIA,2017,DISTRCT COLUMBIA 2017,1349,1816.0
DISTRICT OF COLUMBIA,2018,DISTRCT COLUMBIA 2018,1410,2048.0
DISTRICT OF COLUMBIA,2019,DISTRCT COLUMBIA 2019,1355,2050.0
DISTRICT OF COLUMBIA,2020,DISTRCT COLUMBIA 2020,1211,1735.0
FLORIDA,1998,FLORIDA 1998,99,3759
FLORIDA,1999,FLORIDA 1999,209,3460
FLORIDA,2000,FLORIDA 2000,302,3402
FLORIDA,2001,FLORIDA 2001,140,3459
FLORIDA,2002,FLORIDA 2002,265,3624
FLORIDA,2003,FLORIDA 2003,241,3560
FLORIDA,2004,FLORIDA 2004,219,3476
FLORIDA,2005,FLORIDA 2005,229,3463.0
FLORIDA,2006,FLORIDA 2006,178,3547.0
FLORIDA,2007,FLORIDA 2007,128,3638.0
FLORIDA,2008,FLORIDA 2008,256,3461.0
FLORIDA,2009,FLORIDA 2009,189,3618.0
FLORIDA,2010,FLORIDA 2010,428,3410.0
FLORIDA,2011,FLORIDA 2011,140,3739.0
FLORIDA,2012,FLORIDA 2012,216,3610.0
FLORIDA,2013,FLORIDA 2013,94,3607.0
FLORIDA,2014,FLORIDA 2014,221,3501.0
FLORIDA,2015,FLORIDA 2015,34,4125.0
FLORIDA,2016,FLORIDA 2016,96,3933.0
FLORIDA,2017,FLORIDA 2017,156,3917.0
FLORIDA,2018,FLORIDA 2018,180,3875.0
FLORIDA,2019,FLORIDA 2019,129,4066.0
FLORIDA,2020,FLORIDA 2020,196,4097.0
