Year,State,State_Year,Eligible_Households,Total_HDD,Total_CDD,30NormHDD,LI_Coal_Heaters,LI_NG_Heaters,LI_FO_KE_Heaters,LI_LPG_Heaters,LI_EL_Heaters,LI_Wood_Heaters,Coal_Consumed,FO_Consumed,EL_Consumed,LPG_Consumed,KE_Consumed,NG_Consumed,Total_Energy_Consumed,Wood_Consumed,Coal_Exp,FO_Exp,EL_Exp,LPG_Exp,KE_Exp,NG_Exp,Total_Exp,Wood_Exp,Coal_Price,FO_Price,EL_Price,LPG_Price,KE_Price,NG_Price,Total_Avg_Price,Wood_Price,Percent_Allocation
2013,DELAWARE,DELAWARE 2013,99462,1620,1351,4740,231,30022,18981,9423,35205,1075,0.0,2484.0,15593.0,2902.0,63.0,10673.0,64890.0,1472.0,0.0,67.5,592.0,85.6,1.8,139.2,893.3,7.2,0.0,27.19,37.96,29.5,28.54,13.04,27.66,12.45,0.004213455
2014,DELAWARE,DELAWARE 2014,101929,1558,1143,4740,138,33424,19192,10384,36150,1075,0.0,2687.0,15848.0,3308.0,104.0,11944.0,66613.0,1490.0,0.0,71.3,617.4,107.9,3.0,149.5,956.1,7.1,0.0,26.53,38.96,32.62,28.7,12.52,27.74,12.14,0.004267262
2015,DELAWARE,DELAWARE 2015,98932,1138,1368,4740,175,32626,17556,10062,36543,1384,0.0,2812.0,16545.0,3228.0,76.0,11854.0,65664.0,886.0,0.0,52.1,650.8,89.7,1.2,142.1,938.9,2.9,0.0,18.54,39.34,27.79,16.01,11.99,26.93,8.37,0.004072953
2016,DELAWARE,DELAWARE 2016,101355,1422,1547,4740,247,33058,17703,10966,37295,1360,0.0,2050.0,16252.0,2308.0,78.0,10159.0,60553.0,677.0,0.0,32.7,639.1,61.7,1.0,114.8,851.2,1.9,0.0,15.93,39.32,26.76,12.76,11.3,27.36,7.15,0.004088025
2017,DELAWARE,DELAWARE 2017,100045,1586,1365,4740,112,31704,51595,10110,36928,1189,0.0,1764.0,15909.0,2294.0,39.0,10371.0,59711.0,613.0,0.0,31.3,622.4,65.2,0.6,127.1,848.5,1.9,0.0,17.72,39.12,28.43,15.96,12.25,27.71,8.0,0.003847412
2018,DELAWARE,DELAWARE 2018,101882,1598,1534,4740,168,33113,16014,10891,38216,1067,0.0,2493.0,17299.0,2873.0,46.0,12605.0,68854.0,622.0,0.0,48.6,635.4,86.8,1.1,152.2,926.2,2.2,0.0,19.52,36.73,30.21,23.08,12.07,26.05,8.85,0.004118313
2019,DELAWARE,DELAWARE 2019,101561,1552,1546,4740,105,33453,14688,10790,38822,990,0.0,2470.0,17074.0,2608.0,48.0,12145.0,65584.0,668.0,0.0,49.2,628.0,71.5,1.0,140.9,892.8,2.2,0.0,19.92,36.78,27.42,21.53,11.6,25.8,8.51,0.00383291
2006,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2006,63796,1340,1505,4848,25,45120,4500,1735,21100,89,0.0,1061.0,6217.0,5.0,0.0,11698.0,34354.0,32.0,0.0,19.5,180.0,0.1,0.0,193.6,393.3,0.1,0.0,18.41,28.95,25.79,0.0,16.55,20.71,7.87,0.003205946
2007,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2007,64136,1258,1813,4848,25,45120,4500,1735,21100,89,50.0,1185.0,6720.0,6.0,0.0,13732.0,37685.0,35.0,0.2,23.9,220.2,0.2,0.0,209.5,454.2,0.1,4.6,20.14,32.77,27.76,0.0,15.26,20.92,8.7,0.003089931
2008,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2008,64136,1536,1696,4848,25,45120,4500,1735,21100,89,0.0,833.0,6536.0,7.0,0.0,13592.0,36386.0,39.0,0.0,20.8,244.9,0.2,0.0,218.0,484.0,0.2,0.0,24.92,37.46,32.25,0.0,16.04,23.07,10.72,0.003245032
2009,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2009,66297,1432,1425,4848,25,45120,4500,1735,21100,89,0.0,1017.0,6482.0,8.0,0.0,13937.0,36454.0,24.0,0.0,19.0,260.8,0.2,0.0,187.4,467.5,0.1,0.0,18.69,40.23,27.85,0.0,13.45,21.79,8.05,0.003281828
2010,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2010,62347,1510,2108,4848,24,38562,2066,831,21742,0,0.0,1214.0,7245.0,9.0,0.0,13799.0,38997.0,26.0,0.0,26.9,297.5,0.3,0.0,184.1,508.9,0.1,0.0,22.19,41.06,31.58,0.0,13.34,22.84,9.5,0.001811431
2011,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2011,64182,1213,1917,4848,24,38562,2066,831,21742,0,0.0,206.0,7033.0,0.0,0.0,12583.0,35957.0,25.0,0.0,5.4,276.2,0.0,0.0,161.8,443.4,0.1,0.0,26.17,39.26,34.59,0.0,12.86,22.36,11.42,0.001922045
2012,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2012,64182,1320,1969,4848,78,39122,2170,894,23174,0,0.0,1061.0,6833.0,1.0,0.0,11587.0,34614.0,21.0,0.0,31.6,245.9,0.0,0.0,136.2,413.9,0.1,0.0,29.76,35.99,33.7,0.0,11.76,21.24,12.71,0.001939685
2013,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2013,63967,1414,1710,4848,69,36880,1908,672,21978,0,0.0,822.0,6939.0,5.0,0.0,13610.0,36759.0,27.0,0.0,23.7,255.6,0.2,0.0,164.5,444.1,0.1,0.0,28.81,36.83,33.09,0.0,12.09,20.76,12.45,0.001844102
2014,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2014,71007,1263,1698,4848,50,37517,1712,718,23345,0,0.0,804.0,7070.0,10.0,0.0,14854.0,38467.0,27.0,0.0,22.6,264.0,0.4,0.0,185.9,472.9,0.1,0.0,28.06,37.34,35.38,0.0,12.51,20.79,12.14,0.001488891
2015,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2015,80213,971,1991,4848,45,36762,1873,675,23729,0,0.0,1074.0,8522.0,6.0,0.0,14088.0,42435.0,0.0,0.0,21.1,324.3,0.2,0.0,161.7,507.2,0.0,0.0,19.6,38.06,29.51,0.0,11.48,21.41,0.0,0.001727188
2016,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2016,87721,1196,1982,4848,18,37761,1674,817,29468,0,0.0,108.0,8536.0,5.0,0.0,11880.0,39280.0,6.0,0.0,1.8,307.5,0.1,0.0,124.0,433.5,0.0,0.0,16.85,36.02,28.86,13.5,10.44,21.11,7.15,0.001886549
2017,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2017,75822,1349,1816,4848,26,42744,6669,776,31326,0,0.0,91.0,8171.0,5.0,0.0,12368.0,38383.0,8.0,0.0,1.7,309.8,0.2,0.0,149.2,460.8,0.0,0.0,18.74,37.91,31.85,0.0,12.06,22.33,8.0,0.002067982
2018,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2018,82290,1410,2048,4848,10,46558,1642,827,35972,0,0.0,681.0,8845.0,4.0,0.0,13584.0,41984.0,0.0,0.0,14.1,332.9,0.2,0.0,154.5,501.5,0.0,0.0,20.65,37.63,33.8,0.0,11.37,21.7,0.0,0.002589583
2019,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA 2019,78309,1355,2050,4848,9,38833,1230,705,33412,11,0.0,51.0,8690.0,9.0,0.0,12487.0,39337.0,0.0,0.0,1.1,330.7,0.3,0.0,154.6,486.6,0.0,0.0,21.15,38.05,30.32,22.82,12.38,22.91,0.0,0.001929175
2006,FLORIDA,FLORIDA 2006,1873040,178,3547,694,105,103615,22765,89595,1339160,16538,1.0,488.0,399385.0,8141.0,306.0,16134.0,1265230.0,1957.0,0.0,8.5,13263.6,224.6,5.6,336.9,13845.2,6.0,5.63,17.33,33.21,27.59,18.32,20.88,32.56,7.87,0.035828645
2007,FLORIDA,FLORIDA 2007,1842493,128,3638,694,105,103615,22765,89595,1339160,16538,1.0,291.0,401989.0,7333.0,113.0,15602.0,1254926.0,2164.0,0.0,5.4,13222.6,221.9,2.4,310.5,13770.2,7.4,4.51,18.59,32.89,30.26,20.99,19.9,32.31,8.7,0.041871799
2008,FLORIDA,FLORIDA 2008,1842493,256,3461,694,105,103615,22765,89595,1339160,16538,0.0,163.0,388753.0,7317.0,80.0,16086.0,1216701.0,2421.0,0.0,4.0,13278.7,266.5,1.9,328.6,13889.8,10.1,0.0,24.52,34.16,36.42,23.27,20.42,33.6,10.72,0.037403068
2009,FLORIDA,FLORIDA 2009,1946100,189,3618,694,105,103615,22765,89595,1339160,16538,0.0,220.0,393996.0,9216.0,100.0,15682.0,1223002.0,14587.0,0.0,3.8,14302.6,288.4,2.2,307.0,14950.0,45.9,0.0,17.37,36.3,31.29,21.85,19.58,35.18,8.05,0.037809882
2010,FLORIDA,FLORIDA 2010,2115225,428,3410,694,136,83891,11225,52028,1650830,4672,0.0,260.0,417099.0,9028.0,174.0,19198.0,1271713.0,15644.0,0.0,5.3,13982.2,326.0,4.2,335.3,14711.2,58.1,0.0,20.48,33.52,36.11,24.28,17.47,32.56,9.5,0.047282008
2011,FLORIDA,FLORIDA 2011,2256727,140,3739,694,136,83891,11225,52028,1650830,4672,0.0,156.0,396956.0,7108.0,62.0,16648.0,1191486.0,15174.0,0.0,4.3,13389.0,280.3,1.7,297.8,14040.8,67.7,0.0,27.36,33.73,39.44,27.64,17.89,32.89,11.42,0.045826792
2012,FLORIDA,FLORIDA 2012,2256727,216,3610,694,151,78011,7810,39090,1772752,4282,0.0,79.0,382578.0,5204.0,21.0,14635.0,1128534.0,12680.0,0.0,2.2,12806.8,194.2,0.6,263.5,13330.3,63.0,0.0,27.27,33.48,37.31,29.69,18.0,32.71,12.71,0.045926282
2013,FLORIDA,FLORIDA 2013,2208205,94,3607,694,289,81720,7118,37819,1939381,5324,0.0,63.0,386559.0,4974.0,19.0,15593.0,1147013.0,16545.0,0.0,1.8,12770.1,184.9,0.6,282.8,13320.7,80.6,0.0,28.29,33.04,37.18,29.52,18.14,32.2,12.45,0.054750389
2014,FLORIDA,FLORIDA 2014,2140515,221,3501,694,107,84018,6718,36209,2079524,6175,0.0,102.0,397618.0,5413.0,43.0,17143.0,1177073.0,16744.0,0.0,2.8,13854.5,228.8,1.3,316.7,14483.7,79.5,0.0,27.34,34.84,42.27,29.88,18.47,33.93,12.14,0.052006626
2015,FLORIDA,FLORIDA 2015,2086727,34,4125,694,187,77615,6274,33026,2043332,5626,0.0,81.0,418855.0,5193.0,19.0,15791.0,1207493.0,267.0,0.0,1.4,14216.6,190.3,0.3,298.0,14707.5,0.9,0.0,17.9,33.94,36.65,16.97,18.87,33.42,8.37,0.040573958
2016,FLORIDA,FLORIDA 2016,2064399,96,3933,694,181,72729,5563,28890,1982728,5461,0.0,71.0,420770.0,5560.0,33.0,15763.0,1207392.0,273.0,0.0,1.1,13545.3,202.7,0.4,311.2,14061.4,0.8,0.0,15.49,32.19,36.46,13.53,19.74,31.79,7.15,0.039356377
2017,FLORIDA,FLORIDA 2017,2050786,156,3917,694,145,71730,15816,28685,1909151,5024,0.0,52.0,414430.0,6254.0,10.0,15423.0,1175968.0,200.0,0.0,0.9,14097.7,251.0,0.2,315.9,14666.2,0.6,0.0,17.64,34.02,40.12,16.92,20.48,33.62,8.0,0.039436215
2018,FLORIDA,FLORIDA 2018,2044074,180,3875,694,128,68857,4940,26451,1917547,5061,0.0,57.0,428302.0,6773.0,19.0,17570.0,1196851.0,287.0,0.0,1.1,14485.3,280.3,0.5,364.7,15132.9,1.0,0.0,19.24,33.82,41.39,24.44,20.76,33.42,8.85,0.042255563
2019,FLORIDA,FLORIDA 2019,1975974,129,4066,694,176,68893,4408,24371,1902673,4654,0.0,68.0,433943.0,6349.0,18.0,16944.0,1180439.0,302.0,0.0,1.3,14882.8,234.8,0.4,360.0,15480.2,1.0,0.0,18.78,34.3,36.98,22.82,21.24,33.84,8.51,0.043715512
2006,GEORGIA,GEORGIA 2006,981849,1077,1956,2884,80,320440,8705,118870,321860,29141,0.0,178.0,186024.0,9835.0,356.0,113510.0,711957.0,5764.0,0.0,3.0,4857.7,215.7,6.5,2025.2,7126.0,17.7,0.0,17.0,26.11,21.94,18.28,17.84,22.83,7.87,0.024451296
2007,GEORGIA,GEORGIA 2007,952578,946,1956,2884,80,320440,8705,118870,321860,29141,5.0,164.0,191834.0,9952.0,222.0,115129.0,735842.0,6370.0,0.0,3.0,5113.6,232.8,4.6,1961.5,7337.2,21.7,5.0,18.24,26.66,23.39,20.6,17.04,22.94,8.7,0.028287036
2008,GEORGIA,GEORGIA 2008,952578,1179,1749,2884,80,320440,8705,118870,321860,29141,0.0,187.0,189662.0,11133.0,95.0,122159.0,737925.0,7129.0,0.0,4.5,5517.5,306.2,2.2,2179.8,8040.0,29.9,0.0,24.05,29.09,27.51,22.83,17.84,24.66,10.72,0.027093154
2009,GEORGIA,GEORGIA 2009,1017950,1167,1716,2884,80,320440,8705,118870,321860,29141,0.0,159.0,188198.0,10813.0,190.0,121368.0,726627.0,12164.0,0.0,2.7,5587.9,246.1,4.1,1933.0,7812.0,38.3,0.0,17.04,29.69,22.76,21.44,15.93,24.0,8.05,0.027340526
2010,GEORGIA,GEORGIA 2010,1107784,1319,2124,2884,107,346780,7031,100214,480670,12631,0.0,122.0,210024.0,12671.0,198.0,141661.0,819871.0,13046.0,0.0,2.5,6198.4,327.7,4.7,2103.6,8685.3,48.4,0.0,20.09,29.51,25.86,23.82,14.85,23.49,9.5,0.026195733
2011,GEORGIA,GEORGIA 2011,1161262,1021,2027,2884,107,346780,7031,100214,480670,12631,0.0,141.0,197041.0,9562.0,98.0,115423.0,747018.0,12653.0,0.0,3.8,6383.6,283.9,2.7,1781.6,8512.1,56.5,0.0,26.84,32.4,29.69,27.12,15.44,26.01,11.42,0.026405664
2012,GEORGIA,GEORGIA 2012,1161262,1038,1870,2884,19,340917,5404,88754,563180,14549,0.0,57.0,183088.0,11471.0,29.0,99148.0,671729.0,10574.0,0.0,1.5,5996.3,322.8,0.8,1585.1,7959.1,52.6,0.0,26.76,32.75,28.14,29.13,15.99,26.71,12.71,0.027418267
2013,GEORGIA,GEORGIA 2013,1150442,1114,1626,2884,131,361473,5334,87627,632281,15274,0.0,133.0,182694.0,7929.0,27.0,123480.0,686812.0,13797.0,0.0,3.7,6135.8,222.4,0.8,1775.8,8205.5,67.2,0.0,27.75,33.58,28.04,28.96,14.38,25.67,12.45,0.031365246
2014,GEORGIA,GEORGIA 2014,1113914,1130,1812,2884,98,370590,5881,83072,679745,15721,0.0,73.0,195055.0,9603.0,57.0,136706.0,741983.0,13963.0,0.0,2.0,6659.5,305.0,1.7,1943.3,8977.7,66.3,0.0,26.82,34.14,31.76,29.32,14.21,25.88,12.14,0.03166021
2015,GEORGIA,GEORGIA 2015,1097605,691,1951,2884,77,360922,5168,78689,683765,15233,0.0,68.0,192511.0,8550.0,34.0,120795.0,697029.0,3491.0,0.0,1.2,6511.2,236.4,0.6,1725.6,8486.3,11.4,0.0,17.56,33.82,27.65,16.65,14.29,26.25,8.37,0.030677918
2016,GEORGIA,GEORGIA 2016,1083988,824,2259,2884,0,341424,3855,70950,674149,16172,0.0,79.0,197519.0,8312.0,41.0,119188.0,710185.0,3323.0,0.0,1.2,6659.2,228.7,0.5,1687.8,8586.8,9.3,0.0,15.2,33.71,27.51,13.27,14.16,26.3,7.15,0.02924319
2017,GEORGIA,GEORGIA 2017,1077243,1035,1874,2884,92,334335,7728,70833,657527,15451,0.0,61.0,186880.0,7002.0,21.0,114365.0,665998.0,2453.0,0.0,1.1,6516.8,211.4,0.4,1883.4,8620.7,7.7,0.0,17.31,34.87,30.19,16.6,16.47,27.87,8.0,0.029106765
2018,GEORGIA,GEORGIA 2018,1058459,1076,2120,2884,50,334336,3753,66637,670677,15555,0.0,104.0,203659.0,8733.0,93.0,136713.0,738418.0,3331.0,0.0,2.0,6847.3,271.7,2.2,1860.5,8995.3,11.5,0.0,18.88,33.62,31.11,23.98,13.61,25.66,8.85,0.031197558
2019,GEORGIA,GEORGIA 2019,1015917,936,2197,2884,50,323751,3229,64363,664172,14261,0.0,43.0,202439.0,8750.0,59.0,126519.0,715836.0,2842.0,0.0,0.8,6979.1,244.1,1.3,1832.7,9067.5,9.5,0.0,18.43,34.48,27.89,22.39,14.49,26.75,8.51,0.033115651
2006,HAWAII,HAWAII 2006,106510,0,4340,20,10,4080,165,3595,49850,1957,0.0,19.0,10858.0,598.0,0.0,542.0,33679.0,156.0,0.0,0.4,743.0,22.8,0.0,18.3,785.1,0.7,0.0,18.8,68.43,38.14,21.46,33.7,64.98,10.6,0.001043165
2007,HAWAII,HAWAII 2007,103726,0,4595,20,10,4080,165,3595,49850,1957,0.0,19.0,10921.0,480.0,0.0,528.0,34100.0,172.0,0.0,0.4,772.1,20.4,0.0,17.3,811.0,0.8,0.0,20.25,70.7,42.43,23.52,32.84,67.47,11.71,0.001005817
2008,HAWAII,HAWAII 2008,103926,0,4580,20,10,4080,165,3595,49850,1957,0.0,30.0,10527.0,1007.0,0.0,520.0,33424.0,192.0,0.0,0.8,1002.6,49.8,0.0,22.2,1076.6,1.2,0.0,25.13,95.24,49.47,29.16,42.73,88.5,14.42,0.000980376
2009,HAWAII,HAWAII 2009,120192,0,4431,20,10,4080,165,3595,49850,1957,0.0,16.0,10425.0,920.0,0.0,530.0,33307.0,342.0,0.0,0.3,739.4,42.5,0.0,18.5,802.3,1.6,0.0,17.61,70.93,46.22,24.33,34.97,66.67,10.83,0.000991543
2010,HAWAII,HAWAII 2010,120767,0,4416,20,0,3015,36,2006,37229,372,0.0,1.0,10200.0,919.0,0.0,529.0,32681.0,367.0,0.0,0.0,840.1,52.4,0.0,22.7,917.1,2.0,0.0,22.34,82.36,57.01,26.1,42.79,77.7,12.78,0.001500837
2011,HAWAII,HAWAII 2011,133230,0,4624,20,0,3015,36,2006,37229,372,0.0,1.0,9993.0,854.0,0.0,509.0,32506.0,356.0,0.0,0.0,1015.7,45.1,0.0,26.9,1090.0,2.3,0.0,27.64,101.64,52.79,31.33,52.75,94.72,15.36,0.001495314
2012,HAWAII,HAWAII 2012,133230,0,4299,20,46,3262,83,1673,40895,459,0.0,0.0,9346.0,1254.0,0.0,503.0,31530.0,297.0,0.0,0.0,1022.9,61.4,0.0,25.4,1112.0,2.1,0.0,28.93,109.45,49.01,32.83,50.54,99.03,17.11,0.002048765
2013,HAWAII,HAWAII 2013,128521,0,4341,20,36,2710,78,1515,38692,309,0.0,0.0,8901.0,838.0,0.0,585.0,30848.0,388.0,0.0,0.0,964.9,40.7,0.0,28.6,1037.0,2.7,0.0,28.6,108.4,48.59,32.45,48.84,98.86,16.76,0.001851936
2014,HAWAII,HAWAII 2014,126864,0,4684,20,0,2899,56,1510,40245,657,0.0,0.0,8816.0,847.0,0.0,559.0,31407.0,392.0,0.0,0.0,957.1,47.4,0.0,27.7,1034.9,2.7,0.0,27.95,108.56,55.95,32.29,49.54,99.63,16.34,0.002297797
2015,HAWAII,HAWAII 2015,117901,0,4904,20,0,2701,27,1635,38270,382,0.0,2.0,9012.0,505.0,0.0,562.0,31571.0,14.0,0.0,0.0,781.9,22.1,0.0,22.9,827.1,0.1,0.0,19.6,86.76,43.85,0.0,40.81,82.0,11.26,0.002194086
2016,HAWAII,HAWAII 2016,113015,0,4654,20,0,2872,41,1886,35497,573,0.0,0.0,8911.0,691.0,0.0,560.0,32506.0,10.0,0.0,0.0,717.4,29.2,0.0,20.8,767.4,0.0,0.0,16.34,80.5,42.18,0.0,37.19,75.48,9.62,0.001964894
2017,HAWAII,HAWAII 2017,114245,1,4684,20,0,2656,114,1485,33149,355,0.0,1.0,8972.0,580.0,0.0,558.0,34020.0,32.0,0.0,0.0,775.9,27.8,0.0,22.2,826.1,0.1,0.0,18.66,86.47,47.95,0.0,39.88,81.59,10.76,0.001684739
2018,HAWAII,HAWAII 2018,113359,0,4900,20,0,2612,45,1451,32083,413,0.0,0.0,9249.0,455.0,0.0,568.0,34237.0,23.0,0.0,0.0,880.2,22.6,0.0,25.7,928.5,0.1,0.0,0.0,95.17,49.54,0.0,45.2,90.31,11.9,0.00148586
2019,HAWAII,HAWAII 2019,110693,0,5127,20,22,2444,40,1786,30023,240,0.0,0.0,9416.0,495.0,0.0,548.0,34545.0,23.0,0.0,0.0,884.8,21.9,0.0,25.4,932.3,0.1,0.0,0.0,93.97,44.27,0.0,46.37,89.05,11.46,0.001480244
2006,IDAHO,IDAHO 2006,139711,2814,700,6909,455,38305,6620,6795,49630,36100,23.0,2167.0,27492.0,3435.0,18.0,23494.0,125190.0,7201.0,0.1,39.5,500.2,73.2,0.4,275.0,920.5,32.1,2.38,18.21,18.2,21.3,21.35,11.71,15.43,10.6,0.00329856
2007,IDAHO,IDAHO 2007,140280,2809,678,6909,455,38305,6620,6795,49630,36100,103.0,1435.0,28454.0,3359.0,12.0,23977.0,129055.0,7959.0,0.3,28.7,530.3,79.6,0.3,268.6,947.0,39.2,2.54,20.0,18.64,23.7,23.57,11.2,15.6,11.71,0.003859041
2008,IDAHO,IDAHO 2008,140280,2697,503,6909,455,38305,6620,6795,49630,36100,0.0,1317.0,29138.0,3695.0,7.0,28197.0,135832.0,8907.0,0.0,31.2,597.1,103.6,0.2,304.8,1090.9,54.1,0.0,23.71,20.49,28.04,29.23,10.81,16.5,14.42,0.003559379
2009,IDAHO,IDAHO 2009,141209,2988,546,6909,455,38305,6620,6795,49630,36100,0.0,988.0,29185.0,4086.0,10.0,26127.0,127606.0,3861.0,0.0,15.6,667.2,93.4,0.3,269.1,1063.1,17.6,0.0,15.78,22.86,22.85,24.39,10.3,17.14,10.83,0.003309199
2010,IDAHO,IDAHO 2010,157633,2670,406,6909,267,55662,5669,5766,59274,11257,0.0,905.0,27763.0,3917.0,9.0,24496.0,120873.0,4141.0,0.0,18.9,649.8,96.9,0.2,214.6,1002.7,22.3,0.0,20.94,23.4,24.73,26.16,8.76,17.04,12.78,0.003958592
2011,IDAHO,IDAHO 2011,169526,2683,485,6909,267,55662,5669,5766,59274,11257,0.0,1051.0,28626.0,3991.0,6.0,27137.0,125277.0,4017.0,0.0,27.2,660.6,112.9,0.2,234.7,1061.5,26.0,0.0,25.87,23.08,28.3,26.87,8.65,16.98,15.36,0.003493122
2012,IDAHO,IDAHO 2012,169526,2460,631,6909,158,53037,3804,6055,64147,11632,0.0,821.0,27840.0,3205.0,3.0,24296.0,116608.0,3356.0,0.0,21.8,707.2,82.9,0.1,197.6,1033.8,24.2,0.0,26.55,25.4,25.88,28.16,8.13,17.95,17.11,0.003348727
2013,IDAHO,IDAHO 2013,162831,2874,756,6909,534,61186,4031,7383,70483,12606,0.0,755.0,29409.0,4852.0,2.0,28067.0,127028.0,4380.0,0.0,19.6,803.7,124.2,0.1,222.2,1200.7,30.9,0.0,25.9,27.33,25.61,27.83,7.92,18.49,16.76,0.003394536
2014,IDAHO,IDAHO 2014,158438,2429,624,6909,182,66807,4080,7717,75295,13548,0.0,730.0,27756.0,3537.0,1.0,25056.0,119891.0,4432.0,0.0,18.0,791.1,107.2,0.0,210.2,1157.0,30.5,0.0,24.6,28.5,30.32,27.69,8.39,19.63,16.34,0.003710714
2015,IDAHO,IDAHO 2015,154542,2557,690,6909,178,65178,3316,7593,71135,13798,0.0,713.0,27483.0,3063.0,1.0,24329.0,122911.0,12015.0,0.0,10.5,799.7,69.1,0.0,201.7,1138.0,56.9,0.0,14.68,29.1,22.57,16.97,8.29,18.76,11.26,0.003636383
2016,IDAHO,IDAHO 2016,154560,2615,555,6909,151,63740,2976,6768,69461,13080,0.0,739.0,27883.0,3219.0,1.0,26004.0,122926.0,11178.0,0.0,9.8,813.5,69.2,0.0,202.6,1140.4,45.3,0.0,13.2,29.18,21.51,13.53,7.79,18.23,9.62,0.003867833
2017,IDAHO,IDAHO 2017,152227,2806,720,6909,118,62244,11448,6685,68463,12882,0.0,651.0,29780.0,4201.0,1.0,30119.0,134376.0,12639.0,0.0,11.6,876.4,105.8,0.0,220.3,1271.4,57.3,0.0,17.75,29.43,25.2,16.92,7.31,18.14,10.76,0.003510203
2018,IDAHO,IDAHO 2018,154042,2771,576,6909,123,62371,3019,6489,69822,12578,0.0,510.0,28755.0,3848.0,3.0,28607.0,129754.0,14144.0,0.0,10.2,855.2,100.9,0.1,195.4,1232.6,70.9,0.0,19.92,29.74,26.22,24.44,6.83,18.21,11.9,0.003434689
2019,IDAHO,IDAHO 2019,149489,2889,537,6909,118,61154,2800,6128,68085,11911,0.0,392.0,29674.0,5317.0,12.0,31834.0,136900.0,15796.0,0.0,7.5,860.0,121.5,0.3,200.2,1265.7,76.2,0.0,19.19,28.98,22.85,22.82,6.29,17.13,11.46,0.003617895
2006,ILLINOIS,ILLINOIS 2006,1419684,2269,927,6355,400,879370,8215,60885,197910,16958,276.0,1043.0,158254.0,18045.0,383.0,404471.0,948520.0,5609.0,0.8,18.5,3907.2,321.6,7.6,4452.2,8722.1,14.1,3.07,17.78,24.69,17.82,19.73,11.01,14.93,7.96,0.059595454
2007,ILLINOIS,ILLINOIS 2007,1393107,2264,1074,6355,400,879370,8215,60885,197910,16958,370.0,895.0,163900.0,20472.0,295.0,439314.0,1002463.0,6200.0,1.1,17.5,4863.3,401.3,6.6,4659.6,9966.6,17.2,3.06,19.5,29.67,19.6,22.38,10.61,15.89,8.79,0.047957763
2008,ILLINOIS,ILLINOIS 2008,1393107,2583,770,6355,400,879370,8215,60885,197910,16958,0.0,1173.0,159615.0,27646.0,134.0,472366.0,1028137.0,6938.0,0.0,28.6,5177.7,645.3,3.2,5623.7,11502.2,23.7,0.0,24.34,32.44,23.34,23.52,11.91,17.35,10.83,0.049497399
2009,ILLINOIS,ILLINOIS 2009,1398681,2440,598,6355,400,879370,8215,60885,197910,16958,0.0,674.0,151235.0,25078.0,179.0,445693.0,975665.0,14002.0,0.0,11.2,4996.4,468.8,4.2,3947.4,9464.0,36.0,0.0,16.65,33.04,18.69,23.75,8.86,15.09,8.13,0.049983896
2010,ILLINOIS,ILLINOIS 2010,1456346,2452,1148,6355,328,1061564,6355,54682,249401,6152,0.0,675.0,165765.0,25390.0,193.0,419761.0,996827.0,15017.0,0.0,14.3,5599.0,526.6,4.9,3911.6,10101.9,45.5,0.0,21.24,33.78,20.74,25.23,9.32,16.39,9.6,0.048428865
2011,ILLINOIS,ILLINOIS 2011,1532107,2106,1064,6355,328,1061564,6355,54682,249401,6152,0.0,635.0,160558.0,22357.0,136.0,422588.0,979617.0,14565.0,0.0,17.4,5545.1,490.2,3.9,3671.3,9781.0,53.1,0.0,27.42,34.54,21.92,28.56,8.69,16.01,11.54,0.050137809
2012,ILLINOIS,ILLINOIS 2012,1532107,2282,1211,6355,280,1057628,4445,49455,266567,6050,0.0,378.0,160029.0,18429.0,40.0,364839.0,914300.0,12171.0,0.0,10.3,5335.1,354.8,1.2,2981.0,8731.7,49.4,0.0,27.33,33.34,19.25,29.95,8.17,15.95,12.85,0.052430204
2013,ILLINOIS,ILLINOIS 2013,1516472,2639,901,6355,571,1101101,4366,51539,276943,6574,0.0,444.0,158222.0,25409.0,57.0,459893.0,1010009.0,15882.0,0.0,12.6,4927.7,483.0,1.7,3711.3,9199.5,63.1,0.0,28.35,31.14,19.01,30.61,8.07,14.17,12.58,0.046547572
2014,ILLINOIS,ILLINOIS 2014,1510993,2534,805,6355,472,1151849,4310,54566,296699,7224,0.0,488.0,156984.0,20909.0,94.0,490661.0,1031195.0,16073.0,0.0,13.4,5481.1,508.6,3.1,4598.1,10666.6,62.3,0.0,27.4,34.92,24.33,32.95,9.37,15.82,12.27,0.045100466
